PREMIÈRE	NUM	premier
PARTIE	NOM	partie
I	NUM	i
Rue	NOM	rue
de	PRP	de
Châteaudun	NAM	châteaudun
,	PUN	,
sur	PRP	sur
la	DET:ART	le
façade	NOM	façade
d'	PRP	de
un	NOM	un
des	PRP:det	du
immeubles	NOM	immeuble
qui	PRO:REL	qui
avoisinent	VER:pres	avoisiner
les	DET:ART	le
jardins	NOM	jardin
,	PUN	,
derniers	ADJ	dernier
vestiges	NOM	vestige
des	PRP:det	du
seigneuriales	ADJ	seigneurial
demeures	NOM	demeure
où	PRO:REL	où
habitèrent	VER:simp	habiter
Talleyrand	NAM	talleyrand
et	KON	et
la	DET:ART	le
reine	NOM	reine
Hortense	NAM	hortense
,	PUN	,
se	PRO:PER	se
lit	VER:pres	lire
,	PUN	,
sur	PRP	sur
une	DET:ART	un
plaque	NOM	plaque
de	PRP	de
marbre	NOM	marbre
,	PUN	,
cette	PRO:DEM	ce
inscription	NOM	inscription
:	PUN	:
Banque	NOM	banque
de	PRP	de
l'	DET:ART	le
Alimentation---Vernier-Mareuil	NAM	alimentation---vernier-mareuil
.	SENT	.
<EOS>	<EOS>	<EOS>
Cette	PRO:DEM	ce
maison	NOM	maison
,	PUN	,
hautement	ADV	hautement
estimée	VER:pper	estimer
dans	PRP	dans
le	DET:ART	le
commerce	NOM	commerce
,	PUN	,
porte	VER:pres	porter
les	DET:ART	le
noms	NOM	nom
de	PRP	de
deux	NUM	deux
hommes	NOM	homme
très	ADV	très
connus	VER:pper	connaître
dans	PRP	dans
le	DET:ART	le
monde	NOM	monde
parisien	ADJ	parisien
pour	PRP	pour
leur	DET:POS	leur
soudaine	ADJ	soudain
et	KON	et
rapide	ADJ	rapide
ascension	NOM	ascension
vers	PRP	vers
la	DET:ART	le
grande	ADJ	grand
fortune	NOM	fortune
.	SENT	.
<EOS>	<EOS>	<EOS>
En	PRP	en
vingt	NUM	vingt
ans	NOM	an
,	PUN	,
Vernier	NAM	vernier
et	KON	et
son	DET:POS	son
beau-frère	NOM	beau-frère
Mareuil	NAM	mareuil
,	PUN	,
partis	VER:pper	partir
de	PRP	de
rien	NOM	rien
,	PUN	,
sont	VER:pres	être
arrivés	VER:pper	arriver
à	PRP	à
tenir	VER:infi	tenir
une	DET:ART	un
place	NOM	place
prépondérante	ADJ	prépondérant
à	PRP	à
la	DET:ART	le
Bourse	NOM	bourse
,	PUN	,
et	KON	et
les	DET:ART	le
banques	NOM	banque
les	DET:ART	le
plus	ADV	plus
solides	ADJ	solide
sont	VER:pres	être
obligées	VER:pper	obliger
de	PRP	de
compter	VER:infi	compter
avec	PRP	avec
eux	PRO:PER	eux
.	SENT	.
<EOS>	<EOS>	<EOS>
Par	PRP	par
l'	DET:ART	le
alimentation	NOM	alimentation
,	PUN	,
ils	PRO:PER	il
étendent	VER:pres	étendre
leur	DET:POS	leur
influence	NOM	influence
sur	PRP	sur
le	DET:ART	le
négoce	NOM	négoce
des	PRP:det	du
vins	NOM	vin
,	PUN	,
des	PRP:det	du
eaux-de-vie	NOM	eaux-de-vie
et	KON	et
des	PRP:det	du
liqueurs	NOM	liqueur
,	PUN	,
et	KON	et
enlacent	VER:pres	enlacer
le	DET:ART	le
Midi	NAM	midi
tout	ADV	tout
entier	ADJ	entier
sous	PRP	sous
les	DET:ART	le
mailles	NOM	maille
d'	PRP	de
un	DET:ART	un
gigantesque	ADJ	gigantesque
filet	NOM	filet
dont	PRO:REL	dont
ils	PRO:PER	il
tiennent	VER:pres	tenir
la	DET:ART	le
corde	NOM	corde
dans	PRP	dans
